-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.033,  0.148
-183.800, 80.198, 0.031,  0.181
-183.800, 80.196, 0.033,  0.214
-183.800, 80.195, 0.040,  0.247
-183.800, 80.191, 0.140,  0.280
-183.799, 80.182, 0.294,  0.313
-183.797, 80.169, 0.398,  0.346
-183.796, 80.154, 0.461,  0.379
-183.795, 80.136, 0.560,  0.412
-183.792, 80.113, 0.677,  0.445
-183.790, 80.089, 0.739,  0.478
-183.788, 80.063, 0.794,  0.511
-183.785, 80.035, 0.861,  0.544
-183.782, 80.005, 0.931,  0.577
-183.779, 79.973, 0.954,  0.610
-183.776, 79.941, 0.970,  0.643
-183.773, 79.909, 0.986,  0.676
-183.770, 79.876, 1.002,  0.709
-183.766, 79.843, 1.017,  0.742
-183.763, 79.809, 1.032,  0.775
-183.759, 79.774, 1.045,  0.808
-183.755, 79.740, 1.058,  0.841
-183.751, 79.704, 1.070,  0.874
-183.747, 79.669, 1.081,  0.907
-183.743, 79.633, 1.090,  0.940
-183.739, 79.597, 1.099,  0.973
-183.735, 79.560, 1.106,  1.006
-183.731, 79.523, 1.113,  1.039
-183.726, 79.486, 1.118,  1.072
-183.722, 79.449, 1.123,  1.105
-183.717, 79.412, 1.128,  1.138
-183.713, 79.375, 1.132,  1.171
-183.708, 79.337, 1.135,  1.204
-183.703, 79.300, 1.139,  1.237
-183.699, 79.262, 1.142,  1.270
-183.694, 79.224, 1.145,  1.303
-183.689, 79.186, 1.148,  1.336
-183.684, 79.148, 1.150,  1.369
-183.679, 79.110, 1.153,  1.402
-183.674, 79.072, 1.157,  1.435
-183.669, 79.033, 1.160,  1.468
-183.663, 78.995, 1.163,  1.501
-183.658, 78.956, 1.167,  1.534
-183.653, 78.918, 1.171,  1.567
-183.647, 78.879, 1.175,  1.600
-183.642, 78.840, 1.179,  1.633
-183.636, 78.801, 1.183,  1.666
-183.630, 78.761, 1.188,  1.699
-183.625, 78.722, 1.193,  1.732
